Country_Region,Confirmed,Deaths
Japan,54438,255
Japan,77132,405
Japan,180391,1799
Japan,274982,1874
Japan,78727,303
Japan,26537,172
Japan,11954,61
Japan,20261,80
Japan,32917,130
Japan,477515,1775
Japan,12806,82
Japan,51176,242
Japan,130021,466
Japan,43401,248
Japan,43131,148
Japan,19515,96
Japan,32481,151
Japan,27560,108
Japan,59028,282
Japan,30968,73
Japan,25142,105
Japan,51093,205
Japan,103340,429
Japan,679792,4048
Japan,4463,4
Japan,24614,65
Japan,331610,1213
Japan,52543,146
Japan,6788,8
Japan,94498,346
Japan,48155,206
Japan,12042,75
Japan,1041302,3767
Japan,7206,9
Japan,19764,67
Japan,8,0
Japan,23562,104
Japan,12432,69
Japan,22204,136
Japan,17819,52
Jordan,1638228,13849
Kazakhstan,1391813,18967
Kenya,323057,5640
Kiribati,2974,11
"Korea, South",4212652,8796
Kosovo,226513,3117
Kuwait,621965,2543
Kyrgyzstan,200599,2962
Laos,143710,628
Latvia,689794,5323
Lebanon,1075974,10134
Lesotho,32707,697
Liberia,7384,294
Libya,497279,6288
Liechtenstein,12681,78
Lithuania,923810,8481
Luxembourg,186360,996
MS Zaandam,9,2
Madagascar,63659,1366
Malawi,85396,2617
Malaysia,327914,4137
Malaysia,244050,2310
Malaysia,221323,1321
Malaysia,100255,1013
Malaysia,152912,1370
Malaysia,136293,858
Malaysia,156538,1546
Malaysia,13147,147
Malaysia,220204,1827
Malaysia,348796,3021
Malaysia,264956,1631
Malaysia,979047,10230
Malaysia,101043,786
Malaysia,0,0
Malaysia,262690,2732
Malaysia,17990,152
Malaysia,14608,25
Maldives,171947,297
Mali,30396,724
Malta,71679,607
Marshall Islands,7,0
Mauritania,58645,980
Mauritius,70862,786
Mexico,60844,3461
Mexico,129625,12096
Mexico,100927,2613
Mexico,33341,2223
Mexico,33656,2385
Mexico,123999,9809
Mexico,1359021,42220
Mexico,143519,8703
Mexico,54137,2173
Mexico,67628,3502
Mexico,275709,14699
Mexico,97314,6673
Mexico,88812,8308
Mexico,231996,19189
Mexico,525233,46608
Mexico,92838,8706
Mexico,66117,5164
Mexico,57607,3134
Mexico,307968,14828
Mexico,117189,6029
Mexico,166301,16253
Mexico,139871,6116
Mexico,91021,4324
Mexico,179743,7405
Mexico,119473,9548
Mexico,161956,9951
Mexico,189191,6006
Mexico,140835,7893
Mexico,42900,3053
Mexico,0,0
Mexico,170359,15940
Mexico,108333,6456
Mexico,67181,3828
Micronesia,1,0
Moldova,504307,11269
Monaco,9445,51
Mongolia,911183,2173
Montenegro,230759,2684
Morocco,1161506,16009
Mozambique,225121,2195
Namibia,157311,4013
Nepal,977380,11945
Netherlands,33732,212
Netherlands,7616,31
Netherlands,39133,264
Netherlands,151070,436
Netherlands,154205,323
Netherlands,222739,597
Netherlands,778590,2695
Netherlands,189046,340
Netherlands,414969,2108
Netherlands,1000481,3608
Netherlands,1105329,3254
Netherlands,449865,1378
Netherlands,9573,85
Netherlands,84139,21
Netherlands,545563,1507
Netherlands,135895,370
Netherlands,1425426,4983
New Zealand,2,0
New Zealand,207562,63
Nicaragua,18105,225
Niger,8760,307
Nigeria,254637,3142
North Macedonia,299049,9065
Norway,1299549,1664
Oman,383874,4248
Pakistan,43094,788
Pakistan,35363,376
Pakistan,11559,191
Pakistan,134583,1016
Pakistan,216812,6286
Pakistan,502455,13518
Pakistan,569637,8083
Palau,3844,6
Panama,757061,8106
Papua New Guinea,41421,638
Paraguay,643342,18454
Peru,43598,1332
Peru,124283,7046
Peru,38472,1607
Peru,210750,10166
Peru,47860,2300
Peru,95346,4405
Peru,145812,10437
Peru,116075,5094
Peru,25429,1253
Peru,51696,2851
Peru,102912,8871
Peru,124954,7384
Peru,145559,10849
Peru,104765,9186
Peru,1594692,92474
Peru,57696,4365
Peru,17645,835
Peru,48089,1604
Peru,23744,1086
Peru,156821,12974
Peru,65013,4668
Peru,61623,3126
Peru,53526,2109
Peru,26808,1678
Peru,39316,3207
Peru,0,0
Philippines,3665747,56770
Poland,5721316,112336
Portugal,3308438,21162
Qatar,357920,670
Romania,2760332,63849
Russia,44797,902
Russia,242772,8040
Russia,32120,587
Russia,93691,714
Russia,215746,1586
Russia,110966,2848
Russia,235486,5284
Russia,118563,2049
Russia,147451,3524
Russia,125753,2874
Russia,42330,1071
Russia,288816,7023
Russia,5111,41
Russia,74000,4439
Russia,89829,3543
Russia,39373,541
Russia,251882,7905
Russia,100233,2878
Russia,15579,483
Russia,58471,1777
Russia,150197,1637
Russia,47495,816
Russia,96466,1364
Russia,36974,588
Russia,43484,971
Russia,126471,1406
Russia,146808,2140
Russia,178672,1445
Russia,84245,2252
Russia,196140,2399
Russia,140821,895
Russia,160235,2929
Russia,81469,1236
Russia,231370,10453
Russia,345905,10074
Russia,90511,1214
Russia,106860,2300
Russia,172477,3345
Russia,130407,3314
Russia,18824,378
Russia,43252,1047
Russia,60850,1279
Russia,2706980,41602
Russia,944700,14290
Russia,127486,3122
Russia,6799,93
Russia,373658,11152
Russia,39216,1212
Russia,93915,945
Russia,230281,5046
Russia,193627,3905
Russia,100610,1760
Russia,193058,3747
Russia,160023,5292
Russia,329484,8405
Russia,156233,1827
Russia,99179,1596
Russia,331640,10400
Russia,104513,3070
Russia,1452714,32168
Russia,161184,2013
Russia,60715,759
Russia,341799,7165
Russia,212348,5673
Russia,120032,2791
Russia,185723,6828
Russia,369719,10331
Russia,101668,2215
Russia,123009,1742
Russia,105472,752
Russia,140423,4885
Russia,148550,2579
Russia,170179,3959
Russia,44085,341
Russia,153056,3630
Russia,175493,4378
Russia,138608,3231
Russia,189487,6416
Russia,168709,3428
Russia,339981,7695
Russia,127996,1013
Russia,139507,2502
Russia,149171,2181
Rwanda,129548,1458
Saint Kitts and Nevis,5533,42
Saint Lucia,22733,360
Saint Vincent and the Grenadines,8316,106
Samoa,33,0
San Marino,14487,112
Sao Tome and Principe,5939,72
Saudi Arabia,746836,9005
Senegal,85739,1961
Serbia,1921831,15375
Seychelles,39427,163
Sierra Leone,7665,125
Singapore,803389,1067
Slovakia,2178234,18631
Slovenia,900857,6341
Solomon Islands,7326,111
Somalia,26351,1348
South Africa,3681437,99517
South Sudan,16999,137
Spain,1350312,12852
Spain,398524,4866
Spain,195213,2501
Spain,255498,1218
Spain,1304243,9043
Spain,297195,1592
Spain,126294,765
Spain,473631,7094
Spain,655412,8281
Spain,2286486,18355
Spain,18927,145
Spain,236938,2239
Spain,534214,3109
Spain,89603,907
Spain,1604494,17450
Spain,20296,150
Spain,375894,2170
Spain,223910,1499
Spain,653344,6177
Spain,0,0
Sri Lanka,648993,16307
Sudan,61569,3912
Summer Olympics 2020,865,0
Suriname,78454,1317
Sweden,29019,153
Sweden,67499,427
Sweden,72243,623
Sweden,11229,60
Sweden,102826,403
Sweden,32099,147
Sweden,85009,641
Sweden,58641,306
Sweden,48191,367
Sweden,47448,350
Sweden,90054,421
Sweden,93021,751
Sweden,333695,2172
Sweden,61817,553
Sweden,563314,5092
Sweden,87650,635
Sweden,63013,280
Sweden,54429,258
Sweden,51871,551
Sweden,74143,440
Sweden,428755,2882
Switzerland,2890568,13173
Syria,54894,3089
Taiwan*,20717,853
Tajikistan,17786,125
Tanzania,33620,798
Thailand,3004814,23176
Timor-Leste,22741,129
Togo,36815,272
Tonga,715,0
Trinidad and Tobago,129321,3649
Tunisia,1001754,27874
Turkey,14293828,95205
US,15530,199
US,55079,650
US,5447,94
US,6381,99
US,14803,221
US,2281,49
US,5037,122
US,31887,590
US,8437,153
US,5090,79
US,10656,192
US,2033,35
US,7053,97
US,4078,78
US,3542,68
US,13312,224
US,16179,244
US,2839,66
US,2921,55
US,9246,220
US,3776,94
US,24427,354
US,12430,219
US,8330,231
US,18579,313
US,22898,330
US,9964,159
US,28693,607
US,4927,93
US,9815,135
US,6195,155
US,1856,48
US,4668,101
US,4445,70
US,24917,479
US,14938,229
US,182156,2234
US,3665,62
US,23953,372
US,7590,152
US,37544,317
US,24715,273
US,2601,73
US,3835,77
US,88436,897
US,5150,103
US,7996,147
US,27126,371
US,112704,1577
US,5256,78
US,54452,874
US,35874,482
US,0,0
US,2090,43
US,5167,97
US,7417,127
US,5047,74
US,10001,81
US,58902,423
US,24999,402
US,2561,46
US,22132,353
US,11312,223
US,54966,733
US,0,0
US,18484,419
US,3717,56
US,2864,42
US,7544,120
US,1034,3
US,1678,2
US,100891,510
US,8890,40
US,0,0
US,804,1
US,1865,9
US,947,8
US,390,1
US,1554,11
US,27150,130
US,593,1
US,7952,20
US,17173,101
US,3795,21
US,4858,11
US,3678,11
US,33938,232
US,5473,5
US,4289,11
US,4217,13
US,697,3
US,1376,8
US,2245,6
US,136,0
US,2002,17
US,892,1
US,0,0
US,457,1
US,484,5
US,1331,9
US,196,0
US,21912,582
US,31019,536
US,43086,454
US,16863,352
US,11890,168
US,2203,31
US,5129,132
US,1248818,15625
US,56913,1366
US,37678,850
US,0,0
US,250137,3623
US,128929,1524
US,16561,224
US,17,0
US,47443,1125
US,62171,1116
US,5644,75
US,5073,62
US,8546,235
US,65933,788
US,9318,165
US,2978,46
US,935,9
US,6014,97
US,2748,54
US,5204,76
US,4066,90
US,6384,121
US,2243,35
US,5296,89
US,5408,58
US,36730,315
US,15707,236
US,13824,211
US,4746,77
US,1729,29
US,3004,38
US,4640,64
US,34767,303
US,3766,70
US,2647,85
US,22595,478
US,4368,58
US,15698,166
US,4482,58
US,11017,125
US,3727,48
US,10531,199
US,3858,65
US,5963,54
US,18495,265
US,6647,70
US,1274,30
US,5128,72
US,2879,58
US,4896,65
US,3230,88
US,5051,71
US,19667,229
US,3869,59
US,3314,85
US,9386,161
US,13149,192
US,1914,31
US,1484,55
US,2152,44
US,1700,45
US,5390,95
US,2483,33
US,4740,94
US,2532,40
US,7861,120
US,4079,136
US,18284,194
US,1950,41
US,102029,1134
US,4903,80
US,30519,311
US,2268,39
US,2084,41
US,32439,498
US,5800,69
US,4580,100
US,7046,86
US,2881,60
US,26268,0
US,9078,164
US,3437,57
US,67515,591
US,21727,271
US,1708,26
US,6777,102
US,265590,1760
US,126,0
US,8998,83
US,39239,372
US,7590,116
US,4508,21
US,198614,1235
US,5912,48
US,29604,193
US,249081,2640
US,6464,43
US,19698,140
US,65587,880
US,4517,56
US,239635,2147
US,54504,431
US,11377,130
US,10672,65
US,2802123,30957
US,43075,361
US,35007,272
US,2971,26
US,15758,124
US,69997,789
US,979,7
US,3080,5
US,91051,704
US,26365,134
US,17089,122
US,582267,6658
US,0,0
US,69395,591
US,3052,13
US,614693,6239
US,300181,2971
US,13329,96
US,581401,6641
US,789812,5045
US,132120,798
US,174117,2069
US,55406,446
US,125568,730
US,90039,655
US,319886,2195
US,48507,254
US,36407,573
US,314,4
US,7108,74
US,86117,435
US,84380,476
US,135908,1676
US,22246,217
US,14521,158
US,1462,20
US,131541,1305
US,12889,178
US,5428,3
US,180858,1436
US,38965,306
US,16841,115
US,128957,1235
US,4413,60
US,147004,1132
US,2820,14
US,818,8
US,2479,47
US,60931,344
US,12947,111
US,4302,42
US,318,9
US,1499,11
US,1693,52
US,657,15
US,3121,28
US,627,18
US,5908,130
US,164919,1272
US,350,8
US,75490,398
US,15638,35
US,179309,1589
US,4664,37
US,14634,177
US,14204,89
US,927,4
US,3417,23
US,3275,14
US,121,0
US,1405,31
US,164,0
US,118419,1304
US,328,6
US,1571,30
US,12399,80
US,1774,2
US,74106,459
US,3427,39
US,2047,9
US,7125,106
US,41401,527
US,219,1
US,2936,51
US,5964,67
US,9072,158
US,5475,134
US,4194,125
US,837,6
US,0,0
US,2739,20
US,861,18
US,6226,6
US,2579,48
US,44212,769
US,1647,13
US,2732,46
US,6192,24
US,1144,12
US,184,0
US,2222,8
US,471,8
US,9560,14
US,4688,55
US,121,0
US,1034,26
US,80684,683
US,1846,23
US,198583,2649
US,174865,3036
US,31284,448
US,27460,472
US,190557,2748
US,53711,630
US,20158,263
US,2808,5
US,25407,292
US,49720,603
US,145585,1312
US,60840,798
US,920,0
US,49,0
US,134623,1319
US,67680,588
US,8647,132
US,46333,778
US,7462,138
US,133142,1973
US,599698,5546
US,4079,91
US,35555,709
US,29446,925
US,53429,770
US,84241,970
US,21153,346
US,9306,141
US,4018,53
US,252744,3154
US,81336,1242
US,22245,311
US,3107,50
US,13399,185
US,4501,75
US,1988,35
US,4289,70
US,3816,52
US,8631,118
US,11688,158
US,41834,1009
US,23986,632
US,373147,3383
US,5411,83
US,32286,627
US,14781,258
US,3944,44
US,2765,51
US,84706,1421
US,189844,2036
US,85491,606
US,10208,121
US,2495,27
US,5833,69
US,95522,1345
US,83081,2007
US,30332,588
US,1178827,10320
US,18279,115
US,22082,272
US,51370,656
US,10642,165
US,375092,2570
US,113325,1062
US,366129,4843
US,121544,1781
US,208909,3147
US,199330,2802
US,17521,405
US,48465,584
US,90235,1488
US,103020,1022
US,62653,518
US,73837,1137
US,21577,506
US,12934,276
US,6992,99
US,2962,1989
US,4300,111
US,116576,1786
US,9911,118
US,17337,204
US,6604,104
US,4731,118
US,2093,46
US,3513,73
US,532,14
US,9457,224
US,3855,84
US,21807,246
US,28718,432
US,4289,118
US,4903,78
US,36678,747
US,3307,91
US,4089,103
US,3400,82
US,8903,85
US,15336,249
US,5252,101
US,6438,149
US,1342,22
US,11015,113
US,2058,91
US,23589,427
US,14191,154
US,2957,62
US,61426,825
US,6803,21
US,6516,127
US,62702,589
US,29476,216
US,515,6
US,63145,908
US,2069,39
US,169438,1694
US,10759,259
US,11008,229
US,35416,365
US,4866,70
US,32741,465
US,1765,52
US,4636,131
US,3128,28
US,6828,97
US,144480,1609
US,6990,125
US,5173,146
US,2358,67
US,19345,477
US,34588,375
US,2707,60
US,927,11
US,12862,187
US,4525,105
US,5851,151
US,2310,63
US,5078,143
US,22053,304
US,26914,497
US,54261,364
US,5328,94
US,212450,2155
US,6834,165
US,605,25
US,22856,393
US,15644,254
US,5684,107
US,3887,80
US,205340,1789
US,9962,252
US,53053,800
US,1562,87
US,5383,160
US,6023,107
US,4813,88
US,2161,49
US,57307,649
US,39095,475
US,1871,45
US,21157,277
US,3110,68
US,3911,68
US,3625,107
US,1484,66
US,2240,70
US,4993,106
US,4814,111
US,2250,21
US,13681,287
US,7188,98
US,12110,143
US,1586,35
US,2733,33
US,30754,371
US,7088,127
US,2115,48
US,6916,97
US,1498,49
US,5007,93
US,2408,35
US,4437,138
US,1693,30
US,5147,112
US,5831,167
US,2014,49
US,4482,59
US,11377,178
US,37679,762
US,24356,424
US,8680,102
US,3188,50
US,79020,1376
US,37690,417
US,6098,120
US,8244,158
US,5593,124
US,5379,88
US,11738,185
US,2141,72
US,4444,100
US,408,4
US,3621,92
US,1469,47
US,49521,840
US,18233,309
US,1146,8
US,2597,67
US,2122,28
US,15710,394
US,6235,138
US,2391,32
US,6761,158
US,1154,31
US,264,3
US,5068,130
US,1962,51
US,3035,80
US,2026,60
US,11617,203
US,11468,211
US,6972,191
US,2358,103
US,1620,59
US,15350,367
US,2533,55
US,1527,67
US,10543,18
US,4809,147
US,7683,227
US,16316,225
US,21811,414
US,9814,270
US,1053,28
US,4343,132
US,7670,200
US,436,7
US,1401,38
US,6746,152
US,33694,410
US,1983,68
US,2228,47
US,2220,53
US,4597,109
US,103,3
US,45435,331
US,25915,182
US,164227,993
US,11493,29
US,29587,132
US,5761,12
US,0,0
US,130114,992
US,694,15
US,20710,239
US,905,15
US,1987,40
US,9725,150
US,5563,30
US,1058,13
US,8438,176
US,30777,279
US,2019,57
US,475,9
US,145,2
US,61325,674
US,1476,24
US,4826,52
US,108,0
US,2261,31
US,522,8
US,6837,69
US,2329,29
US,2147,26
US,3636,78
US,3088,54
US,2914,50
US,6029,62
US,5590,64
US,39100,579
US,6656,48
US,1248,25
US,1126,28
US,1026,15
US,12644,49
US,3945,61
US,8869,140
US,795,11
US,2261,52
US,5522,84
US,1463,20
US,2599,75
US,2684,8
US,21982,283
US,0,0
US,2506,16
US,2359,56
US,22191,201
US,1270,15
US,4293,29
US,13690,115
US,2392,15
US,8288,126
US,1515,5
US,4206,47
US,4579,35
US,61597,285
US,10086,110
US,4806,52
US,4731,67
US,11821,113
US,15145,166
US,1113552,14110
US,6157,43
US,3336,37
US,4295,37
US,23042,191
US,6431,53
US,206102,1681
US,5112,58
US,1745,27
US,10567,132
US,7052,96
US,4385,64
US,12231,164
US,9944,125
US,1393,16
US,3579,44
US,12532,133
US,2162,31
US,4357,45
US,1046,19
US,1145,17
US,12555,116
US,7104,111
US,15425,118
US,2668,26
US,10986,170
US,6169,68
US,3982,35
US,4416,40
US,124670,1104
US,28619,358
US,30547,156
US,12471,208
US,28634,377
US,147408,1338
US,5475,41
US,8706,77
US,10626,136
US,9379,84
US,30249,334
US,12653,137
US,69796,776
US,11806,206
US,2734,30
US,3874,59
US,3833,66
US,7129,86
US,75002,466
US,49099,287
US,3479,19
US,3971,47
US,9430,131
US,9724,100
US,9378,125
US,4043,44
US,13857,128
US,8,0
US,46037,508
US,7392,97
US,4352,22
US,4993,65
US,947,8
US,1715,18
US,1122,9
US,10389,121
US,5148,74
US,32864,466
US,7797,92
US,54302,381
US,1936,17
US,1244,11
US,6157,73
US,63171,718
US,1503,32
US,11405,153
US,36311,457
US,150,2433
US,5335,63
US,27824,287
US,3690,27
US,3977,81
US,3403,34
US,5258,81
US,4386,48
US,15221,222
US,159944,1498
US,22400,244
US,75869,800
US,10277,111
US,7244,111
US,103325,1127
US,21231,240
US,2464,21
US,3101,65
US,15057,167
US,2579,60
US,4202,57
US,11564,155
US,30864,366
US,6808,84
US,9161,113
US,2530,35
US,7449,147
US,11294,144
US,13378,125
US,6977,130
US,24639,410
US,12818,160
US,53909,686
US,6704,138
US,18794,276
US,5361,92
US,4358,54
US,4877,99
US,11591,136
US,17220,330
US,7160,130
US,81262,607
US,20564,245
US,10733,130
US,40579,519
US,12896,222
US,25294,421
US,11453,148
US,12469,120
US,8959,137
US,4826,70
US,9323,142
US,6923,95
US,42113,570
US,10695,144
US,19677,225
US,5833,100
US,25274,350
US,105505,1703
US,11796,249
US,32498,605
US,223410,2827
US,12277,182
US,2153,24
US,9217,150
US,27430,267
US,10611,158
US,16374,259
US,2543,66
US,13027,152
US,1441,19
US,5015,89
US,5799,110
US,3587,45
US,4626,62
US,3715,46
US,37177,529
US,6511,55
US,3050,83
US,9262,120
US,5871,139
US,8245,133
US,4822,57
US,7827,100
US,13539,164
US,5207,58
US,70234,825
US,4703,90
US,9597,115
US,5249,71
US,2302,19
US,49651,374
US,3499,80
US,0,892
US,2015,20
US,57040,593
US,4050,73
US,28754,396
US,8686,150
US,2070,26
US,20181,227
US,5970,77
US,18768,323
US,6479,127
US,6801,90
US,9623,80
US,1577,50
US,815,13
US,2843,59
US,2887,65
US,1099,19
US,5986,74
US,32500,457
US,5429,53
US,5452,79
US,4558,57
US,6419,56
US,3185,52
US,2584,22
US,4910,65
US,2943,75
US,4109,33
US,11018,159
US,2952,60
US,2663,31
US,2244,35
US,4076,41
US,3445,72
US,11470,143
US,4511,52
US,22856,135
US,1586,29
US,1506,24
US,3992,68
US,9058,129
US,4119,71
US,25773,292
US,2341,51
US,4061,71
US,3502,61
US,2499,40
US,1373,24
US,1711,21
US,2538,40
US,2337,44
US,3462,70
US,2822,46
US,4099,58
US,3412,93
US,5524,67
US,2029,31
US,2601,37
US,1797,47
US,3653,48
US,4591,68
US,8599,105
US,3455,50
US,33682,139
US,5419,71
US,2039,47
US,3761,86
US,7802,137
US,51552,560
US,2468,60
US,1737,31
US,2721,48
US,3130,38
US,4870,84
US,7497,119
US,9352,108
US,3328,42
US,2454,49
US,1714,47
US,1875,48
US,2193,52
US,9500,130
US,3401,71
US,1392,22
US,3323,45
US,2024,37
US,6303,97
US,1573,27
US,123641,1053
US,24100,305
US,3551,60
US,1126,33
US,2386,32
US,40802,375
US,2701,50
US,7973,85
US,19614,82
US,3834,87
US,1316,21
US,564,0
US,2707,49
US,1373,26
US,8919,190
US,12397,133
US,5610,76
US,1262,33
US,10280,154
US,2935,44
US,3782,46
US,28717,324
US,1748,14
US,3603,62
US,3945,46
US,2105,27
US,4254,33
US,1036,8
US,6476,86
US,4374,46
US,2676,47
US,18780,166
US,673,7
US,838,17
US,6132,84
US,659,14
US,493,7
US,1965,33
US,2211,36
US,2405,39
US,439,15
US,10057,147
US,11834,122
US,612,19
US,4784,73
US,2429,32
US,25174,131
US,560,13
US,569,8
US,7117,80
US,2012,31
US,11508,106
US,10582,108
US,6899,77
US,9182,73
US,785,23
US,565,13
US,2197,34
US,1230,23
US,333,3
US,1775,22
US,462,3
US,1647,25
US,9516,117
US,961,11
US,409,10
US,3870,27
US,4738,60
US,785,13
US,144341,1178
US,1232,20
US,1948,26
US,667,7
US,6591,72
US,295,11
US,19227,173
US,619,10
US,2809,25
US,840,12
US,9926,115
US,3311,39
US,2540,41
US,7752,124
US,1218,19
US,7692,87
US,1422,19
US,9387,141
US,1496,26
US,622,11
US,3227,60
US,5122,62
US,779,18
US,2142,37
US,3888,43
US,790,16
US,1189,16
US,0,0
US,2118,23
US,1355,29
US,5693,55
US,1924,30
US,677,9
US,18462,219
US,1345,14
US,2596,22
US,13400,79
US,1363,20
US,808,18
US,1870,36
US,14067,230
US,1276,34
US,144521,1251
US,6918,59
US,47883,565
US,786,18
US,1499,19
US,644,8
US,1133,26
US,430,8
US,1456,18
US,5616,66
US,2373,27
